Series Id,Series Title,Date,Close,Source Index
ZLY00,Soybean Oil,2008-01-01,50.83,CBOT Soybean
ZLY00,Soybean Oil,2008-02-01,65.69,CBOT Soybean
ZLY00,Soybean Oil,2008-03-01,48.35,CBOT Soybean
ZLY00,Soybean Oil,2008-04-01,56.29,CBOT Soybean
ZLY00,Soybean Oil,2008-05-01,59.56,CBOT Soybean
ZLY00,Soybean Oil,2008-06-01,64.41,CBOT Soybean
ZLY00,Soybean Oil,2008-07-01,56.01,CBOT Soybean
ZLY00,Soybean Oil,2008-08-01,51.9,CBOT Soybean
ZLY00,Soybean Oil,2008-09-01,42.87,CBOT Soybean
ZLY00,Soybean Oil,2008-10-01,32.1,CBOT Soybean
ZLY00,Soybean Oil,2008-11-01,31,CBOT Soybean
ZLY00,Soybean Oil,2008-12-01,31.56,CBOT Soybean
ZLY00,Soybean Oil,2009-01-01,30.35,CBOT Soybean
ZLY00,Soybean Oil,2009-02-01,27.72,CBOT Soybean
ZLY00,Soybean Oil,2009-03-01,29.99,CBOT Soybean
ZLY00,Soybean Oil,2009-04-01,33.44,CBOT Soybean
ZLY00,Soybean Oil,2009-05-01,37.05,CBOT Soybean
ZLY00,Soybean Oil,2009-06-01,32.52,CBOT Soybean
ZLY00,Soybean Oil,2009-07-01,31.56,CBOT Soybean
ZLY00,Soybean Oil,2009-08-01,31.99,CBOT Soybean
ZLY00,Soybean Oil,2009-09-01,30.72,CBOT Soybean
ZLY00,Soybean Oil,2009-10-01,33.9,CBOT Soybean
ZLY00,Soybean Oil,2009-11-01,38.19,CBOT Soybean
ZLY00,Soybean Oil,2009-12-01,37.17,CBOT Soybean
ZLY00,Soybean Oil,2010-01-01,32.9,CBOT Soybean
ZLY00,Soybean Oil,2010-02-01,36.04,CBOT Soybean
ZLY00,Soybean Oil,2010-03-01,35.56,CBOT Soybean
ZLY00,Soybean Oil,2010-04-01,36.33,CBOT Soybean
ZLY00,Soybean Oil,2010-05-01,34.68,CBOT Soybean
ZLY00,Soybean Oil,2010-06-01,33.6,CBOT Soybean
ZLY00,Soybean Oil,2010-07-01,36.88,CBOT Soybean
ZLY00,Soybean Oil,2010-08-01,36.35,CBOT Soybean
ZLY00,Soybean Oil,2010-09-01,41.85,CBOT Soybean
ZLY00,Soybean Oil,2010-10-01,46,CBOT Soybean
ZLY00,Soybean Oil,2010-11-01,47.15,CBOT Soybean
ZLY00,Soybean Oil,2010-12-01,53.61,CBOT Soybean
ZLY00,Soybean Oil,2011-01-01,54.45,CBOT Soybean
ZLY00,Soybean Oil,2011-02-01,53.49,CBOT Soybean
ZLY00,Soybean Oil,2011-03-01,57.08,CBOT Soybean
ZLY00,Soybean Oil,2011-04-01,57.26,CBOT Soybean
ZLY00,Soybean Oil,2011-05-01,57.49,CBOT Soybean
ZLY00,Soybean Oil,2011-06-01,54.04,CBOT Soybean
ZLY00,Soybean Oil,2011-07-01,54.53,CBOT Soybean
ZLY00,Soybean Oil,2011-08-01,57.55,CBOT Soybean
ZLY00,Soybean Oil,2011-09-01,50.2,CBOT Soybean
ZLY00,Soybean Oil,2011-10-01,51.67,CBOT Soybean
ZLY00,Soybean Oil,2011-11-01,49.77,CBOT Soybean
ZLY00,Soybean Oil,2011-12-01,51.97,CBOT Soybean
ZLY00,Soybean Oil,2012-01-01,50.37,CBOT Soybean
ZLY00,Soybean Oil,2012-02-01,53.2,CBOT Soybean
ZLY00,Soybean Oil,2012-03-01,54.25,CBOT Soybean
ZLY00,Soybean Oil,2012-04-01,54.05,CBOT Soybean
ZLY00,Soybean Oil,2012-05-01,48.2,CBOT Soybean
ZLY00,Soybean Oil,2012-06-01,50.84,CBOT Soybean
ZLY00,Soybean Oil,2012-07-01,51.28,CBOT Soybean
ZLY00,Soybean Oil,2012-08-01,55.17,CBOT Soybean
ZLY00,Soybean Oil,2012-09-01,50.93,CBOT Soybean
ZLY00,Soybean Oil,2012-10-01,48.04,CBOT Soybean
ZLY00,Soybean Oil,2012-11-01,46.79,CBOT Soybean
ZLY00,Soybean Oil,2012-12-01,46.86,CBOT Soybean
ZLY00,Soybean Oil,2013-01-01,50.74,CBOT Soybean
ZLY00,Soybean Oil,2013-02-01,47,CBOT Soybean
ZLY00,Soybean Oil,2013-03-01,48.86,CBOT Soybean
ZLY00,Soybean Oil,2013-04-01,49.16,CBOT Soybean
ZLY00,Soybean Oil,2013-05-01,48.31,CBOT Soybean
ZLY00,Soybean Oil,2013-06-01,46.25,CBOT Soybean
ZLY00,Soybean Oil,2013-07-01,41.67,CBOT Soybean
ZLY00,Soybean Oil,2013-08-01,43.52,CBOT Soybean
ZLY00,Soybean Oil,2013-09-01,40.58,CBOT Soybean
ZLY00,Soybean Oil,2013-10-01,40.21,CBOT Soybean
ZLY00,Soybean Oil,2013-11-01,38.75,CBOT Soybean
ZLY00,Soybean Oil,2013-12-01,36.57,CBOT Soybean
ZLY00,Soybean Oil,2014-01-01,34.57,CBOT Soybean
ZLY00,Soybean Oil,2014-02-01,39.6,CBOT Soybean
ZLY00,Soybean Oil,2014-03-01,39.3,CBOT Soybean
ZLY00,Soybean Oil,2014-04-01,41.63,CBOT Soybean
ZLY00,Soybean Oil,2014-05-01,38.5,CBOT Soybean
ZLY00,Soybean Oil,2014-06-01,39.23,CBOT Soybean
ZLY00,Soybean Oil,2014-07-01,37.11,CBOT Soybean
ZLY00,Soybean Oil,2014-08-01,33.54,CBOT Soybean
ZLY00,Soybean Oil,2014-09-01,34.02,CBOT Soybean
ZLY00,Soybean Oil,2014-10-01,35.8,CBOT Soybean
ZLY00,Soybean Oil,2014-11-01,32.81,CBOT Soybean
